Category	Count
Sunday-neutral-no	2835
Sunday-negative-no	180
Wednesday-neutral-yes	2070
Monday-positive-no	580
Friday-neutral-yes	1817
Wednesday-neutral-no	2633
Tuesday-negative-no	189
Sunday-neutral-yes	2075
Tuesday-neutral-no	2517
Thursday-neutral-yes	1869
Monday-positive-yes	466
Friday-negative-no	178
Tuesday-positive-yes	490
Thursday-neutral-no	2563
Sunday-positive-no	640
Friday-positive-no	502
Tuesday-negative-yes	140
Saturday-neutral-no	2504
Monday-negative-yes	152
Saturday-positive-no	579
Wednesday-positive-no	603
Monday-negative-no	155
Wednesday-positive-yes	496
Thursday-negative-no	171
Tuesday-neutral-yes	2068
Thursday-positive-yes	416
Saturday-negative-no	204
Monday-neutral-yes	2095
Friday-neutral-no	2384
Sunday-positive-yes	490
Wednesday-negative-no	171
Saturday-neutral-yes	1961
Friday-positive-yes	427
Monday-neutral-no	2731
Wednesday-negative-yes	135
Thursday-positive-no	551
Tuesday-positive-no	563
Sunday-negative-yes	172
Friday-negative-yes	156
Saturday-negative-yes	139
Saturday-positive-yes	489
Thursday-negative-yes	135
