Category	Count
2012-positive-yes	155
2012-negative-yes	55
2009-negative-no	128
2012-neutral-no	2813
2010-negative-yes	88
2012-neutral-yes	790
2003-negative-no	62
1999-neutral-no	113
2008-neutral-no	1706
2002-positive-yes	222
2005-negative-yes	98
2012-positive-no	605
2003-positive-no	152
2005-positive-yes	299
2001-positive-no	181
2006-neutral-no	892
2007-positive-yes	341
2009-neutral-no	2029
2005-negative-no	86
2012-negative-no	185
2006-neutral-yes	1355
2008-neutral-yes	1062
2000-negative-yes	43
1999-negative-yes	15
1999-positive-no	33
2000-positive-yes	184
2004-neutral-yes	1147
2003-negative-yes	65
1997-neutral-no	1
2005-neutral-yes	1313
2006-positive-yes	307
2005-positive-no	240
2003-neutral-no	599
2008-positive-no	328
1999-neutral-yes	148
2004-neutral-no	796
2003-positive-yes	192
2002-negative-yes	80
2006-negative-yes	84
1999-negative-no	8
1998-negative-no	2
2007-negative-no	87
2009-positive-yes	272
1998-positive-yes	1
2002-negative-no	74
2000-neutral-no	612
2011-positive-no	497
2004-positive-yes	293
2000-negative-no	44
2011-neutral-yes	978
2004-positive-no	177
1998-neutral-no	8
2010-positive-yes	245
2008-negative-no	84
2008-positive-yes	244
2008-negative-yes	84
2004-negative-yes	105
2002-neutral-yes	994
2011-negative-no	155
2004-negative-no	62
1998-neutral-yes	9
2000-neutral-yes	711
2011-positive-yes	232
2005-neutral-no	1038
2009-negative-yes	91
2000-positive-no	169
2009-neutral-yes	1345
1998-positive-no	4
2006-negative-no	81
2010-negative-no	122
2002-neutral-no	881
2007-positive-no	305
1999-positive-yes	54
2001-positive-yes	233
2002-positive-no	210
2007-neutral-yes	1318
2001-negative-yes	65
2001-neutral-yes	823
2007-negative-yes	99
2007-neutral-no	1460
2009-positive-no	437
2010-neutral-yes	1133
2011-neutral-no	2185
2011-negative-yes	57
2010-positive-no	466
2003-neutral-yes	829
2006-positive-no	214
2010-neutral-no	2244
2001-negative-no	68
2001-neutral-no	790
