ProductID,Count,Score
 B003A02O38,14,8/10
 6302722055,7,5/7
 B004SIP6BI,262,602/898
 6301581598,4,14/26
 B0096RC57O,4,26/28
 076780046X,64,186/199
 B003CRM6PA,171,281/786
 B000F0UTW4,1, 2/2
 B000FOR9XW,4,19/25
 B000ANVPPG,79,432/496
 B004TJRD94,1, 0/0
 B000W2FI7Q,2,28/30
 B00005U14D,12,32/38
 B000FOR9XM,2,33/41
 B001ILFUDW,19,19/25
 B003YKDPAA,9,13/16
 B000F8O3PU,5,10/19
 B007EMEOEA,4,2/5
 B000ANVPPQ,148,562/633
 630024847X,7,22/25
 B000TJBO16,15,45/63
 B000KRN25I,10,23/31
 0790732033,37,110/136
 B003WF4574,1, 0/0
 B0014Z4OOI,23,41/84
 B003BM374K,60,172/259
 B0045V6FRC,29,79/113
 B002CWWN0Y,3,4/11
 B000063USN,11,276/327
 B00005JYAY,163,505/724
 B004ZWHZUC,2,0/0
 B000W90JD2,4,10/11
 B007UK703S,1, 0/0
 B004X4ROPS,10,9/21
 B000JR8HOU,2,0/0
 B000ILYYYY,10,11/11
 B008M34Y72,16,58/67
 B000J0XJC2,417,1353/2487
 B0001K5GOO,26,141/200
 B005KCA33C,1, 0/0
 B0010XOKM0,6,4/6
 B00004WM3D,134,595/866
 B00004WM3E,1, 0/0
 6302066980,1, 2/2
 B000F9RL9Y,11,76/89
 B0001GH7VS,9,62/83
 B00005RDSC,14,9/65
 6304646127,14,11/29
 B001ILFUDM,287,1494/2107
 B00005MFO8,472,1653/2579
 B005AZHGRU,1, 1/2
 B0062MI5KM,3,7/10
 5556167281,304,1324/1669
 B000IMM3XW,367,547/821
 B000F9RL9E,2,13/15
 0764004492,3,7/7
 B000CDSS86,30,189/230
 0934837120,2,15/17
 B003YBHZ28,8,20/22
 B0049FFVGU,36,149/281
 6304095775,4,62/84
 B000A2WMGS,6,5/6
 6300218767,1, 1/1
 B00005M1YM,9,41/51
 B0000WU79C,3,0/0
 B0000544LY,16,64/73
 B003BUAP10,3,15/15
 B001ILFUD2,74,80/141
 B0052IBFMW,1, 1/2
 6300233316,1, 1/1
 6300215857,18,168/176
 B00067BBR8,7,28/37
 B000VII4D6,97,321/491
 B000ANVPP6,79,432/496
 B00005M1Y1,24,44/50
 B00005LKL8,16,156/170
 B0007R4T5I,3,13/13
 B004R10MA6,248,390/766
 B008IG0F7G,5,22/23
 B0042W0BQA,1, 2/2
 B004USUOX6,23,109/126
 B00005LKL7,144,591/951
 B00020X8MA,6,61/80
 B004916TQA,10,20/55
 B00064N6VU,6,12/12
 B000XJD37K,1, 0/0
 6304040164,5,17/22
 B002LEJQNA,1, 0/0
 B000KX0IMM,7,8/13
 B000068QPR,12,26/41
 B006MWA8O8,23,114/144
 B000BB1ME6,1, 8/8
 B004HRDMHK,80,99/125
 B0000C8AXJ,2,0/0
 B00005V9I4,19,372/450
 6305146187,3,6/6
 B002UIGMYS,27,163/194
 B000VNMMRK,1, 3/3
 B005FIXA6S,1, 3/3
 B00005V9I0,21,64/93
 B003DBEX6K,626,1841/2708
 B002JVX0JG,4,40/40
 6304653638,1, 13/13
 B0008ENIM0,3,2/13
 B002B7CFR6,21,62/76
 6302179661,2,11/18
 6303039405,81,342/438
 B005CXOGAU,34,128/297
 B001NRPR9S,1, 0/1
 B0065PVKH6,2,3/3
 B000GALHPQ,1, 1/2
 B001T89LXO,51,95/120
 B00000HF14,14,104/130
 B000PGDHHC,1, 2/3
 B00006JU7O,8,12/20
 B00742GOP2,13,5/11
 B007TYI7RI,2,10/10
 B0007VY49K,1, 0/0
 6305829195,2,10/13
 B00026L92K,1, 8/8
 B0006A9FPU,8,21/41
 6303079792,29,115/127
 B0002VGSKS,2,4/5
 B00005V9IR,3,19/22
 B000OF2T6E,1, 0/0
 B004H8X2ZQ,27,58/95
 B000CEXFBU,34,193/214
 B00005V9IE,2,15/15
 B001NFNFMQ,648,2018/2462
 B0008ENIMK,19,128/128
 6301630688,30,64/149
 B00005V9IB,14,40/56
 B001OKUREO,200,611/1255
 1569381704,4,14/14
 B00005V9IH,67,191/303
 B00005V9IC,6,4/5
 6303864716,2,9/9
 B00005V9IK,325,788/1623
 B002OHDRF2,404,1398/2492
 B00006LU76,5,26/27
 B00006LU75,5,25/25
 B005245E2I,3,9/9
 B000H0MN5S,1, 1/3
 B00006LU72,2,3/3
 B00004CZRQ,377,1375/2311
 B000KX0IM2,68,170/392
 6301415833,20,76/99
 B008474ZX4,2,7/9
 B002VL2PTU,669,2304/3871
 B0006GAOL8,73,428/506
 B006A0R638,16,46/97
 B00005KB5B,2,7/7
 B00005V9I8,7,24/25
 B004I0EX8I,3,3/4
 B002C6VMHU,2,1/1
 6303998690,20,56/67
 B000067J2U,1, 8/8
 6305340854,1, 0/0
 B00005LKLD,375,570/1077
 B00005U8E8,2,16/18
 B001OASRAA,2,1/1
 B004ZVHSBY,1, 0/0
 6303968902,1, 1/2
 B006NO1SVM,4,41/42
 B000ILYYY4,1, 1/1
 B004GIZX3Q,8,44/46
 B000H5U65W,27,40/79
 B000068C2L,14,41/63
 B00005U8E7,3,3/7
 B00004WCMT,268,1552/2117
 B0000DG6XL,1, 1/1
 B0001ME59Y,1, 10/10
 B000ZHUFSK,33,271/333
 6305746540,16,52/91
 B0016H3I46,35,108/147
 6302686679,1, 0/0
 B000UGBOT0,162,720/1034
 6301367189,1, 1/1
 B00005U141,4,14/15
 B0036DBMMI,4,13/49
 B0000DG00X,1, 0/0
 B0001GH7V8,138,1099/1183
 6304170408,33,226/279
 B00008HC9N,11,63/74
 6302643651,7,76/90
 B00005NHIU,1, 7/7
 B0019M7KT2,20,81/195
 B0030ZIZQI,47,176/326
 B00827OWSO,45,379/422
 B0041FZQPE,30,59/97
 B00004RFI6,2,4/4
