ProductID,Count
 B003A02O38,14
 6302722055,7
 B004SIP6BI,262
 6301581598,4
 B0096RC57O,4
 076780046X,64
 B003CRM6PA,171
 B000F0UTW4,1
 B000FOR9XW,4
 B000ANVPPG,79
 B004TJRD94,1
 B000W2FI7Q,2
 B00005U14D,12
 B000FOR9XM,2
 B001ILFUDW,19
 B003YKDPAA,9
 B000F8O3PU,5
 B007EMEOEA,4
 B000ANVPPQ,148
 630024847X,7
 B000TJBO16,15
 B000KRN25I,10
 0790732033,37
 B003WF4574,1
 B0014Z4OOI,23
 B003BM374K,60
 B0045V6FRC,29
 B002CWWN0Y,3
 B000063USN,11
 B00005JYAY,163
 B004ZWHZUC,2
 B000W90JD2,4
 B007UK703S,1
 B004X4ROPS,10
 B000JR8HOU,2
 B000ILYYYY,10
 B008M34Y72,16
 B000J0XJC2,417
 B0001K5GOO,26
 B005KCA33C,1
 B0010XOKM0,6
 B00004WM3D,134
 B00004WM3E,1
 6302066980,1
 B000F9RL9Y,11
 B0001GH7VS,9
 B00005RDSC,14
 6304646127,14
 B001ILFUDM,287
 B00005MFO8,472
 B005AZHGRU,1
 B0062MI5KM,3
 5556167281,304
 B000IMM3XW,367
 B000F9RL9E,2
 0764004492,3
 B000CDSS86,30
 0934837120,2
 B003YBHZ28,8
 B0049FFVGU,36
 6304095775,4
 B000A2WMGS,6
 6300218767,1
 B00005M1YM,9
 B0000WU79C,3
 B0000544LY,16
 B003BUAP10,3
 B001ILFUD2,74
 B0052IBFMW,1
 6300233316,1
 6300215857,18
 B00067BBR8,7
 B000VII4D6,97
 B000ANVPP6,79
 B00005M1Y1,24
 B00005LKL8,16
 B0007R4T5I,3
 B004R10MA6,248
 B008IG0F7G,5
 B0042W0BQA,1
 B004USUOX6,23
 B00005LKL7,144
 B00020X8MA,6
 B004916TQA,10
 B00064N6VU,6
 B000XJD37K,1
 6304040164,5
 B002LEJQNA,1
 B000KX0IMM,7
 B000068QPR,12
 B006MWA8O8,23
 B000BB1ME6,1
 B004HRDMHK,80
 B0000C8AXJ,2
 B00005V9I4,19
 6305146187,3
 B002UIGMYS,27
 B000VNMMRK,1
 B005FIXA6S,1
 B00005V9I0,21
 B003DBEX6K,626
 B002JVX0JG,4
 6304653638,1
 B0008ENIM0,3
 B002B7CFR6,21
 6302179661,2
 6303039405,81
 B005CXOGAU,34
 B001NRPR9S,1
 B0065PVKH6,2
 B000GALHPQ,1
 B001T89LXO,51
 B00000HF14,14
 B000PGDHHC,1
 B00006JU7O,8
 B00742GOP2,13
 B007TYI7RI,2
 B0007VY49K,1
 6305829195,2
 B00026L92K,1
 B0006A9FPU,8
 6303079792,29
 B0002VGSKS,2
 B00005V9IR,3
 B000OF2T6E,1
 B004H8X2ZQ,27
 B000CEXFBU,34
 B00005V9IE,2
 B001NFNFMQ,648
 B0008ENIMK,19
 6301630688,30
 B00005V9IB,14
 B001OKUREO,200
 1569381704,4
 B00005V9IH,67
 B00005V9IC,6
 6303864716,2
 B00005V9IK,325
 B002OHDRF2,404
 B00006LU76,5
 B00006LU75,5
 B005245E2I,3
 B000H0MN5S,1
 B00006LU72,2
 B00004CZRQ,377
 B000KX0IM2,68
 6301415833,20
 B008474ZX4,2
 B002VL2PTU,669
 B0006GAOL8,73
 B006A0R638,16
 B00005KB5B,2
 B00005V9I8,7
 B004I0EX8I,3
 B002C6VMHU,2
 6303998690,20
 B000067J2U,1
 6305340854,1
 B00005LKLD,375
 B00005U8E8,2
 B001OASRAA,2
 B004ZVHSBY,1
 6303968902,1
 B006NO1SVM,4
 B000ILYYY4,1
 B004GIZX3Q,8
 B000H5U65W,27
 B000068C2L,14
 B00005U8E7,3
 B00004WCMT,268
 B0000DG6XL,1
 B0001ME59Y,1
 B000ZHUFSK,33
 6305746540,16
 B0016H3I46,35
 6302686679,1
 B000UGBOT0,162
 6301367189,1
 B00005U141,4
 B0036DBMMI,4
 B0000DG00X,1
 B0001GH7V8,138
 6304170408,33
 B00008HC9N,11
 6302643651,7
 B00005NHIU,1
 B0019M7KT2,20
 B0030ZIZQI,47
 B00827OWSO,45
 B0041FZQPE,30
 B00004RFI6,2
 B00004RFI7,1
 B002G4RDAI,1
 B00004RFI5,2
 B0051ZIXMQ,73
 B00015N4T8,10
 B00164E6HM,2
 B0019M7KTC,5
 B004AR4WA8,1
 B00004RFIK,23
 B002F4YG4K,7
 B000MQ58TU,1
 B00004RFIF,31
 B00004RFIG,1
 B00004RFIE,42
 B0007ORDMW,2
 B00170M2D0,12
 B000I9TX1U,3
 6300246299,2
 B002WKRSVA,1
 B004LB5FEA,5
 B004BAO4CK,1
 6300266850,7
 B0070225F4,1
 B00000INBI,1
 B004LB5FEK,1
 B00005U8EY,5
 B00005U8EZ,3
 B002W7IH0Y,10
 B000VHVGM8,99
 B00005U8EP,11
 B00005U8EQ,12
 B00005U8ER,13
 6300186075,1
 B00005U8EU,3
 6304880677,2
 B00351U934,66
 630259751X,16
 630354472X,2
 B000JUB2UI,1
 B00005U8EN,46
 B00005U8EO,9
 B00005U8EA,1
 B004D7SB5M,1
 B00005U8ED,3
 B00005U8EF,1
 B0095D5454,158
 B004XSHQRU,2
 6303154735,5
 B008BSM1EG,7
 B000067J2M,13
 6305809208,11
 B00000INBA,1
 0790750708,68
 B0019RP6KC,51
 6305508569,3
 B002TK03YW,2
 B00005226W,5
 6305976104,6
 B002TV20LA,17
 B00005NQ51,88
 B005Z9MGQW,1
 B002TV20LK,1
 B001MWUWSK,4
 0966199464,1
 B00005NKBU,4
 B0016PO9KU,1
 B001OKQ7BG,104
 B000I1V3MU,18
 B0001A9JEW,7
 6304462689,3
 B00096S43U,29
 B000055YXI,2
 6301699599,190
 B005LAJ22Q,382
 B00096S43K,47
 B0010JR7GK,3
 B0007OP1A8,7
 B0018PH3K6,13
 B00096S43A,6
 6302373352,2
 B000WCN8TG,7
 B0001EYSQC,77
 B0013Z70YA,2
 B00008FZHL,8
 6303579485,3
 B004WSATRK,2
 0790747324,189
 B003U6SJX6,7
 B00005JMZQ,8
 B00242KDEK,4
 B00005V9I6,9
 B00008FZHF,1
 B000NDFHYS,20
 B000028U3S,290
 B000WCN8T6,16
 B00005JMZK,506
 6303356699,2
 B0042W131W,2
 B000EOU4NA,1
 B00005JMZA,81
 B0001WTVAM,8
 6304696698,1
 B000056PPE,2
 1562229567,1
 B0042W2IT8,5
 B000VHVGMI,31
 6303514723,64
 B0099VUXCQ,1
 B0002A2VR8,1
 B00925T8YI,1
 B0018Z5C54,2
 B000CCD1XY,14
 6300147967,38
 B0007NMJZO,13
 B000056BPD,4
 B004AX5J5E,8
 B000NPFF52,2
 B000RNUFXC,5
 B00000INB2,9
 B00000INB3,16
 B00000INB1,8
 B003HE4FBG,4
 6302949041,3
 B00005QVUI,1
 B00008G1PX,425
 B00004WCMJ,3
 B008LYCDW0,1
 B001AXTYPI,13
 B000067J2Z,9
 B00006G8I7,6
 B000056PNH,2
 B000056PNI,2
 B008ROG898,7
 6302719429,5
 B007HOQ574,3
 B000XEDVEA,3
 B0001NBNF2,112
 6302232163,1
 6301387090,34
 B000IOM0RY,5
 B000056PNV,18
 B000FP2PEE,6
 6305808155,18
 B00004W221,108
 6305986398,1
 B000GAKJXM,1
 B000AE8L2U,13
 B000ZLFALI,61
 6300215067,3
 B00028G4UU,1
 B000063JZ7,27
 B00005B7DN,19
 B001LMU1A0,41
 B0021542BK,4
 B00005B7DG,2
 B000057P5U,2
 B000QUCNRC,5
 B001IT2942,6
 630207505X,2
 B000LXH5P4,2
 B00005B7DP,19
 6302139724,3
 B002KPPEYA,1
 B000AE8L2K,8
 6303293670,1
 B000BB1NFO,1
 B000LXH5PO,4
 B000AE8L20,12
 B001GBPZRU,27
 B000063JZU,5
 B001CUB9J8,1
 B000FUF758,7
 B0013UQUSM,2
 B0048KQQC4,19
 B001DCE514,3
 B00005NHIR,1
 B001OMT62Q,1
 B0059JU0YS,3
 B001TGV882,117
 B002L5GDZI,16
 6304005512,90
 B003BGZ60Y,28
 B0045TOM6K,2
 B001PTP3J8,1
 B001UHXL5S,2
 B000JJ5F70,3
 B0007LPS7W,51
 B003SHYYM2,97
 B000FP2PE4,4
 B00000K0B3,3
 B0002TT06Y,13
 B00007L4N8,6
 B00004CK9I,48
 B000006GMQ,2
 B000SKO8DC,1
 B001IT294C,6
 B0015UYTZG,56
 B001302UMW,7
 6303890334,10
 B00008PW29,4
 B000I0RVSG,1
 B003QWVPTE,9
 B000063W82,589
 B00006G8IL,5
 0767805534,124
 B008SAPAYA,6
 B000OFOSOA,1
 B000KF0P2I,11
 B0041VEZVY,16
 B003U6SJXQ,84
 6302806240,2
 6301325842,1
 B0006HBZXS,124
 6304288115,51
 B000FVQLQQ,319
 5554663931,1
 B005ZMBBR4,24
 B008SAPAYU,1
 B000B19E8W,15
 B000GETWF4,376
 B004RAJ1D6,2
 B0007VY51W,5
 B0006VY6MG,2
 B000003O0Z,15
 B0036Q2RR4,1
 B005G5PNOW,7
 B00004CQT3,24
 B000LXGW1W,1
 B00005U14N,1
 B00004CQT4,5
 B000JJRY7E,9
 B0000DJZBK,6
 B00005U14C,8
 B000OIOSFG,1
 B0000060T0,1
 B004XSUBE0,1
 B0001GH7VI,3
 B001B9YBSQ,2
 B00005U14E,1
 B0071AD95K,9
 B001EI5BWE,12
 B00005Q58B,27
 B00004WCM2,7
 B0036BDQ38,4
 B0002V7TJC,13
 B00180OU66,6
 B0006GAI6O,182
 B000JJRY7Y,1
 B000053VQE,85
 B000OIOSFQ,1
 B00008HC96,1
 B002DPRW1U,1
 B00004CQTP,26
 630436119X,18
 B00005M1Y4,216
 B00005M1Y7,114
 B00005M1Y6,74
 B0000028AJ,9
 B0000060TP,1
 B0002B55DE,419
 B0041XQRR2,47
 B000MTFFMC,7
 B00005U149,18
 B00004T6FQ,1
 B001N8Z8K0,6
 B005EP7HX4,6
 B00004CQTF,37
 B00005U142,2
 B003ZZ7TT2,2
 B000OIOSF6,1
 B001IDSZ1O,82
 B00005U147,4
 B00005U145,5
 B0088VQ0V6,2
 6305796173,8
 B000035P4U,2
 B000VJDTTO,1
 B00062IZGI,1
 B0078V2LCY,2
 B002IRYYK0,5
 0963199668,1
 B000ILYYYE,2
 B001M4154S,3
 B002SVTBFO,24
 B006MQ0GQE,5
 B00062IZGS,4
 B000KF0P28,42
 B00000405W,1
 B000YTI3QA,16
 B0014Z4OO8,1
 B003BEE7C4,1
 B003CJUWVI,10
 B000F0UUOG,1
 B005ZMBBRY,24
 6302739918,3
 B0000D0YWG,6
 0792845773,25
 0800126033,12
 B00009OWJQ,54
 0792151712,10
 B00009OWJT,23
 B00347AGH8,2
 B000GB5M5Q,4
 B002EWD0IG,2
 B0009PBLOU,1
 B00000IC83,1
 B002NEWO96,1
 B0006FFRDE,2
 6302761298,13
 B008YKQC6E,2
 B001AYMMK6,1
 B000H5V8DG,169
 B00000K0B4,1
 B0006FFRDO,2
 B000MDH5US,2
 B0052LZQ2O,1
 B006HNRSFE,5
 B000KGGJ0E,7
 B0006GAOLI,1
 B0006GAI6E,53
 B000MRA542,12
 B0003OXEE2,54
 B000FDEV0W,1
 B00008FZHB,8
 B002SRWNPI,3
 B0002UP0KS,10
 B0000764K0,13
 B006UANE8E,2
 B000KGGJ0Y,79
 B001T46TUG,26
 B002PM8PZS,1
 0790733382,32
 B000056N8U,18
 B000JBXHBO,26
 6304520735,13
