ProductID,Score
 B003A02O38,65.0
 6302722055,32.0
 B004SIP6BI,1175.0
 6301581598,12.0
 B0096RC57O,18.0
 076780046X,295.0
 B003CRM6PA,756.0
 B000F0UTW4,5.0
 B000FOR9XW,17.0
 B000ANVPPG,351.0
 B004TJRD94,5.0
 B000W2FI7Q,10.0
 B00005U14D,49.0
 B000FOR9XM,9.0
 B001ILFUDW,70.0
 B003YKDPAA,41.0
 B000F8O3PU,17.0
 B007EMEOEA,15.0
 B000ANVPPQ,543.0
 630024847X,35.0
 B000TJBO16,64.0
 B000KRN25I,40.0
 0790732033,169.0
 B003WF4574,4.0
 B0014Z4OOI,96.0
 B003BM374K,238.0
 B0045V6FRC,112.0
 B002CWWN0Y,13.0
 B000063USN,48.0
 B00005JYAY,747.0
 B004ZWHZUC,9.0
 B000W90JD2,15.0
 B007UK703S,5.0
 B004X4ROPS,37.0
 B000JR8HOU,7.0
 B000ILYYYY,50.0
 B008M34Y72,54.0
 B000J0XJC2,1890.0
 B0001K5GOO,119.0
 B005KCA33C,4.0
 B0010XOKM0,15.0
 B00004WM3D,577.0
 B00004WM3E,5.0
 6302066980,5.0
 B000F9RL9Y,46.0
 B0001GH7VS,39.0
 B00005RDSC,65.0
 6304646127,65.0
 B001ILFUDM,1309.0
 B00005MFO8,2074.0
 B005AZHGRU,1.0
 B0062MI5KM,10.0
 5556167281,1451.0
 B000IMM3XW,1542.0
 B000F9RL9E,8.0
 0764004492,13.0
 B000CDSS86,106.0
 0934837120,10.0
 B003YBHZ28,33.0
 B0049FFVGU,144.0
 6304095775,13.0
 B000A2WMGS,30.0
 6300218767,4.0
 B00005M1YM,40.0
 B0000WU79C,14.0
 B0000544LY,76.0
 B003BUAP10,15.0
 B001ILFUD2,332.0
 B0052IBFMW,5.0
 6300233316,4.0
 6300215857,86.0
 B00067BBR8,31.0
 B000VII4D6,270.0
 B000ANVPP6,351.0
 B00005M1Y1,89.0
 B00005LKL8,71.0
 B0007R4T5I,14.0
 B004R10MA6,1153.0
 B008IG0F7G,20.0
 B0042W0BQA,5.0
 B004USUOX6,100.0
 B00005LKL7,605.0
 B00020X8MA,13.0
 B004916TQA,39.0
 B00064N6VU,27.0
 B000XJD37K,5.0
 6304040164,19.0
 B002LEJQNA,3.0
 B000KX0IMM,25.0
 B000068QPR,56.0
 B006MWA8O8,92.0
 B000BB1ME6,5.0
 B004HRDMHK,354.0
 B0000C8AXJ,8.0
 B00005V9I4,67.0
 6305146187,10.0
 B002UIGMYS,130.0
 B000VNMMRK,5.0
 B005FIXA6S,5.0
 B00005V9I0,49.0
 B003DBEX6K,2383.0
 B002JVX0JG,18.0
 6304653638,5.0
 B0008ENIM0,10.0
 B002B7CFR6,93.0
 6302179661,8.0
 6303039405,312.0
 B005CXOGAU,159.0
 B001NRPR9S,5.0
 B0065PVKH6,10.0
 B000GALHPQ,5.0
 B001T89LXO,214.0
 B00000HF14,52.0
 B000PGDHHC,5.0
 B00006JU7O,26.0
 B00742GOP2,34.0
 B007TYI7RI,10.0
 B0007VY49K,3.0
 6305829195,8.0
 B00026L92K,3.0
 B0006A9FPU,40.0
 6303079792,134.0
 B0002VGSKS,4.0
 B00005V9IR,8.0
 B000OF2T6E,5.0
 B004H8X2ZQ,95.0
 B000CEXFBU,158.0
 B00005V9IE,9.0
 B001NFNFMQ,3100.0
 B0008ENIMK,75.0
 6301630688,105.0
 B00005V9IB,53.0
 B001OKUREO,644.0
 1569381704,19.0
 B00005V9IH,224.0
 B00005V9IC,10.0
 6303864716,7.0
 B00005V9IK,1237.0
 B002OHDRF2,1389.0
 B00006LU76,16.0
 B00006LU75,18.0
 B005245E2I,14.0
 B000H0MN5S,5.0
 B00006LU72,5.0
 B00004CZRQ,1715.0
 B000KX0IM2,225.0
 6301415833,92.0
 B008474ZX4,9.0
 B002VL2PTU,3169.0
 B0006GAOL8,326.0
 B006A0R638,71.0
 B00005KB5B,8.0
 B00005V9I8,32.0
 B004I0EX8I,13.0
 B002C6VMHU,5.0
 6303998690,70.0
 B000067J2U,1.0
 6305340854,5.0
 B00005LKLD,1736.0
 B00005U8E8,10.0
 B001OASRAA,10.0
 B004ZVHSBY,4.0
 6303968902,5.0
 B006NO1SVM,20.0
 B000ILYYY4,5.0
 B004GIZX3Q,32.0
 B000H5U65W,128.0
 B000068C2L,54.0
 B00005U8E7,15.0
 B00004WCMT,1185.0
 B0000DG6XL,5.0
 B0001ME59Y,5.0
 B000ZHUFSK,137.0
 6305746540,61.0
 B0016H3I46,161.0
 6302686679,4.0
 B000UGBOT0,655.0
 6301367189,5.0
 B00005U141,15.0
 B0036DBMMI,17.0
 B0000DG00X,4.0
 B0001GH7V8,594.0
 6304170408,154.0
 B00008HC9N,36.0
 6302643651,24.0
 B00005NHIU,5.0
 B0019M7KT2,89.0
 B0030ZIZQI,195.0
 B00827OWSO,215.0
 B0041FZQPE,111.0
 B00004RFI6,8.0
 B00004RFI7,5.0
 B002G4RDAI,3.0
 B00004RFI5,3.0
 B0051ZIXMQ,216.0
 B00015N4T8,40.0
 B00164E6HM,4.0
 B0019M7KTC,22.0
 B004AR4WA8,5.0
 B00004RFIK,96.0
 B002F4YG4K,33.0
 B000MQ58TU,5.0
 B00004RFIF,143.0
 B00004RFIG,5.0
 B00004RFIE,201.0
 B0007ORDMW,10.0
 B00170M2D0,44.0
 B000I9TX1U,11.0
 6300246299,7.0
 B002WKRSVA,5.0
 B004LB5FEA,21.0
 B004BAO4CK,5.0
 6300266850,24.0
 B0070225F4,5.0
 B00000INBI,3.0
 B004LB5FEK,4.0
 B00005U8EY,23.0
 B00005U8EZ,13.0
 B002W7IH0Y,48.0
 B000VHVGM8,432.0
 B00005U8EP,36.0
 B00005U8EQ,42.0
 B00005U8ER,56.0
 6300186075,2.0
 B00005U8EU,13.0
 6304880677,10.0
 B00351U934,317.0
 630259751X,74.0
 630354472X,9.0
 B000JUB2UI,5.0
 B00005U8EN,209.0
 B00005U8EO,36.0
 B00005U8EA,4.0
 B004D7SB5M,4.0
 B00005U8ED,15.0
 B00005U8EF,4.0
 B0095D5454,592.0
 B004XSHQRU,10.0
 6303154735,16.0
 B008BSM1EG,19.0
 B000067J2M,52.0
 6305809208,50.0
 B00000INBA,5.0
 0790750708,291.0
 B0019RP6KC,179.0
 6305508569,11.0
 B002TK03YW,7.0
 B00005226W,24.0
 6305976104,16.0
 B002TV20LA,68.0
 B00005NQ51,400.0
 B005Z9MGQW,5.0
 B002TV20LK,4.0
 B001MWUWSK,19.0
 0966199464,4.0
 B00005NKBU,13.0
 B0016PO9KU,4.0
 B001OKQ7BG,475.0
 B000I1V3MU,80.0
 B0001A9JEW,22.0
 6304462689,15.0
 B00096S43U,133.0
 B000055YXI,10.0
 6301699599,795.0
 B005LAJ22Q,1754.0
 B00096S43K,186.0
 B0010JR7GK,12.0
 B0007OP1A8,29.0
 B0018PH3K6,53.0
 B00096S43A,23.0
 6302373352,10.0
 B000WCN8TG,31.0
 B0001EYSQC,349.0
 B0013Z70YA,7.0
 B00008FZHL,38.0
 6303579485,5.0
 B004WSATRK,10.0
 0790747324,898.0
 B003U6SJX6,32.0
 B00005JMZQ,29.0
 B00242KDEK,18.0
 B00005V9I6,31.0
 B00008FZHF,4.0
 B000NDFHYS,54.0
 B000028U3S,1385.0
 B000WCN8T6,74.0
 B00005JMZK,1548.0
 6303356699,8.0
 B0042W131W,5.0
 B000EOU4NA,1.0
 B00005JMZA,316.0
 B0001WTVAM,31.0
 6304696698,3.0
 B000056PPE,6.0
 1562229567,5.0
 B0042W2IT8,9.0
 B000VHVGMI,100.0
 6303514723,236.0
 B0099VUXCQ,1.0
