Name,Count
,3
 Valley "Valley",1
 Robert D. Herndon,1
 MATT,1
 flaviolius,1
 Lorraine Latremore,1
 B. ALAIN "ESPERANZA",4
 Sandra A. Staruk,1
 ReeVueBoi,1
 runningmom3,1
 Robin Cole-Jett,1
 A. Amir,1
 J. Johnson "capricornrising1",1
 LordXero,1
 H. Lee "HB Owen",1
 AMP "Al",5
 blugreen "blugreen",2
 Doris M. Edwards,1
 James Shannon Bussey,1
 Christina Frenzel,1
 Robert L. Pyrdeck.  -A.K.A.  -Ebert watcher..!,1
 Irish,1
 Annlovesbooks "adtreview",1
 Arnold H. De Walt,1
 George Romero,1
 Robert A Berry,1
 Dr. E L,1
 Buzz Forder,1
 Morgan "Ann",1
 joanie54,1
 DM-C,2
 Mama Jen,1
 VenerableRyo,2
 Samantha S. Dennett "samantha_dennett",1
 L. Gebhardt "Victoria Rose",1
 Old Softy,1
 Cobe "Cobe",1
 H. M. Banks "MoDigady",1
 Lori "Lori",1
 Faith,1
 J. Chesson,1
 True Hank Fan,1
 L. Latshaw "drumdad67",1
 F. Mowbray,1
 Mary-jean Behrman "MrsBehrman",1
 Patty,2
 abacus "Get behind the MULE!!!",2
 slkx,1
 J. Brandt,1
 B. Bodah,1
 David Zimmerman,1
 Dina L. Anduha "D. Anduha",4
 tinklover,1
 Shane "Shane",2
 Steven W. Strom,1
 Clint Gaydon,1
 Richard P. Muraski "Murric1",1
 John Dziadecki,1
 M. Ferris,2
 D. Bontrager "mamapolarbare",1
 Static Frost,1
 S. Rohe "Film Connoisseur",1
 David E. Levine,6
 Tommy,3
 hmmngbrd,1
 D. Farmer,2
 Daddy,2
 Alexandr Plyusnin "Alexandr Plyusnin",1
 Ben "Pizza Enthusiast",1
 Ken Steele,1
 Gordon A Knapp,1
 "amartz",1
 LisaLuvsMovies "movie-mad",1
 R. Johnson "bonovox",1
 "ktoyer",1
 Brian Manley "517 Murry St.",1
 Shirley Burke "ATTRIBUTION",1
 P. J. De Jager "malibudream",1
 mom,5
 Wolfe Moffat,2
 Ruth,1
 D. Allen "DVD Fiend",1
 KBL,1
 Tso Haven Hei Wan "Havenough Dupont Randall-B...,3
 "rainy_taylor",1
 LoriB,1
 Samuel B. Callejo,1
 Gault,1
 Duane M. Timm "opera lover",1
 Raymond L. Duncan,2
 Mr. Thomas L. Clements "TLC",1
 C. Cheung "animefan",1
 Jeffrey C. Denekas "jedielrond",1
 jjj,1
 jjk,1
 liquorish,2
 Kelly Green,1
 A. Torres "Madonna",1
 Carlos "carjoe",1
 RodneyPaul "rpm",2
 Leiah "Leiah",1
 Whistle Britches,1
 BITTERMAN,1
 abettertomorrow,1
 Jaffri Ibrahim "hi-def or no-def",1
 Robert J. Parker,1
 Drake-by-the-Lake "movie critic",1
 Flex,1
 fejim5475,1
 R. Pepper "DaysFan79",4
 Mr. Z. Goodwin "hello",1
 Jeff Kushel,1
 Rosemary Kasper,1
 Alexander Larsen,1
 Jeffrey Gamble,1
 Bree Patton,1
 Louis,1
 Bruce J. Wallwin,2
 L. Black,1
 tom L. -&#62; "'the cpu (certified public und...,1
 L. Gosselin,1
 Joy Marie "Rachel",1
 Y. Ramirez "Crudas Cuerdas",1
 Aaron James Todd,1
 Terry Appel,1
 Ash_D,1
 Carl Hanners,1
 J. Leist "jboneleist",1
 lottagall,1
 Michael J. Moore,1
 Courtney Rabideau,3
 Tina L. Digregorio,1
 Raul Vasquez,1
 Mike Okisichi,1
 Nat,3
 Robin Remde,2
 Linda "laddie327",1
 Sonia,2
 Horst R. Wittmann,1
 Katherine Graham "Katherine Graham",1
 Edward L. Roy,2
 Jennifer G. Casoli Vant,3
 Anna Savla,1
 MJ Fan "fabulouzly",1
 Alexander S. Carter,2
 David De Sousa "The Automation and Control Guy",1
 T. Saldana "Twilight fan...teenie",1
 "usarocketman",1
 Sissy,1
 Carlos Santillan,1
 Y. Li "Y. Li",1
 Shelley R. Guerin,1
 Julio,1
 Jason,21
 Julie,1
 margie brown,1
 Julia,4
 Stephen B. Priest,1
 Robert Middleswarth,1
 Cynthia Bernard,1
 L. Casamento "Ms LA",1
 David Romano,1
 "meltingyellow",1
 Leah Nicole,1
 Chris Neuhahn "Chris",1
 Frank H. McCurdy,1
 Chris V.,2
 VICTOR M FIGUEROA JR,1
 Richard A. Yarmey "Multi rated!",1
 vantran@earthlink.net,1
 Tyler Tanner,4
 TheTerrorBeyond,1
 Lmac89,1
 kaioatey,2
 Andrea D. "AnDREEuh!",1
 Nadia Rodriguez,1
 Dubyac99 "MC White",3
 Sunyata Anomaly,1
 a home owner,1
 M. A. Miller,1
 Lane Neuroth,1
 Mom of 6 good kids,2
 PearceReader,1
 Jeff Wright "OneTree",1
 oldmoviebuff,1
 Steve R.,1
 Cynthia,1
 Sandy Simonis,1
 M Darrow "therekloose",1
 M. Chen,2
 Gunslinger,2
 Stella Jo,1
 Moss Parker "moss_parker",1
 Daniel,9
 RAYMOND J. FERNEKES "RAZEinNY03",1
 Doralys Arias,1
 Matt & Candy Coleman "drazil91",1
 Pontoffel Pock,1
 Joseph Saceanu "CATMAN",1
 P. Schneider,1
 Cory J. Shaw "Big &#34;C&#34;",1
 Katherine,3
 Ant B "cooksinscrubs",1
 Amit Sogani,1
 sebastian hope,1
 Anna I. Gonzales "Anna 'N'  Texas",1
 T. Brown "Alias Fanatic",1
 M. Hart "Sci-Fi Fan",5
 R. Moore "rmoore132",1
 J. Orji,1
 Gracex,1
 christij803,1
 J to the D "glueislandpony2",1
 H. Boehning "helenB",2
 Dr. Johnson,1
 morsaus,1
 Heather P Lind,1
 M. Rinehart,1
 Joyce,2
 "youngvelvet",1
 I Just Like What I Like,1
 Dizzy51,1
 Bonnie Honniball,1
 Kenneth D. George II,1
 M. Detko "detkoralph",1
 D. Powell "scifi/spy fan",1
 Dana Garrett,1
 Martin L. Woodland,1
 "chbloss",1
 Daniel Raphael,1
 Luis Logrono,2
 Stan C,5
 Beverly Kaynes,1
 Neils C. Dunn "tigersays",2
 M. L. Jones,1
 GPM,1
 M. Hoffman "DMette",1
 kaduzy,1
 Matahari knows,4
 penelope,1
 Billpoetry,1
 M. Lee,1
 grandjam,1
 Mclusky,1
 M. Hafner,1
 DeAd MiKe,4
 Nutrition Man,1
 Madison,2
 KAL-EL,1
 TwinsMomAustin,1
 2cleverbyhalf,2
 "trucky1958",1
 Rolene Schriedel "jewelry lover",1
 C. Cornell "tennischic42",1
 Lynn Bridges "lynn bridges",2
 MrMotorvator "Yo",1
 Elementary Techie "Books Forever",1
 KEVIN BRIAN,2
